flight,destination,airline,price
120,Istanbul,Aeroflot,13907
141,Doha,Aeroflot,10782
135,Dubai,Aeroflot,20111
117,Abu Dhabi,S7,21397
146,Doha,S7,29840
101,Izmir,Aeroflot,9428
120,Antalya,Turkish Airlines,17587
118,Bodrum,Emirates,21903
140,Doha,Ural Airlines,29249
117,Dubai,Emirates,8971
119,Doha,Turkish Airlines,20773
114,Izmir,Turkish Airlines,9908
135,Dubai,Emirates,16439
149,Izmir,Aeroflot,7259
146,Izmir,S7,15067
102,Bodrum,Ural Airlines,23735
116,Bodrum,Aeroflot,20065
147,Izmir,S7,13622
124,Dubai,Turkish Airlines,21392
127,Doha,Ural Airlines,7575
130,Male,Ural Airlines,27030
131,Izmir,Ural Airlines,23595
118,Bodrum,Aeroflot,24526
131,Antalya,Aeroflot,11148
145,Istanbul,Aeroflot,24130
113,Izmir,Emirates,9913
128,Doha,Turkish Airlines,23614
103,Istanbul,Ural Airlines,21007
134,Antalya,Ural Airlines,11846
135,Dubai,Ural Airlines,28011
145,Male,Air Arabia,14447
118,Istanbul,Emirates,25429
113,Doha,Ural Airlines,24518
114,Doha,Turkish Airlines,13405
114,Izmir,Turkish Airlines,19541
132,Male,Emirates,8589
123,Istanbul,Turkish Airlines,29988
115,Izmir,Air Arabia,11911
130,Bodrum,Ural Airlines,25411
146,Male,Emirates,17736
141,Doha,Emirates,19919
149,Male,Ural Airlines,27278
137,Izmir,Turkish Airlines,13315
117,Dubai,Air Arabia,23722
145,Izmir,S7,21651
104,Dubai,Aeroflot,11815
132,Izmir,Air Arabia,27088
134,Doha,Emirates,10214
111,Istanbul,Emirates,11664
143,Abu Dhabi,Emirates,20224
